from,to,year,award,weight,category
Martin Short,Golden Globe,2023,Golden Globe,1,acting
Martin Short,Golden Globe,2022,Golden Globe,1,acting
Matt Bomer,Golden Globe,2024,Golden Globe,1,acting
Matt Damon,Golden Globe,2024,Golden Globe,1,acting
Matthew Macfadyen,Golden Globe,2024,Golden Globe,2,acting
Maya Erskine,Golden Globe,2025,Golden Globe,1,acting
Meryl Streep,Golden Globe,2024,Golden Globe,1,acting
Michael Keaton,Golden Globe,2022,Golden Globe,2,acting
Michaela Jaé Rodriguez,Golden Globe,2022,Golden Globe,2,acting
Michelle Williams,Oscar,2023,Oscar,1,acting
Michelle Williams,Golden Globe,2023,Golden Globe,1,acting
Michelle Yeoh,Oscar,2023,Oscar,2,acting
Michelle Yeoh,Golden Globe,2023,Golden Globe,2,acting
Michelle Yeoh,BAFTA,2023,BAFTA,1,acting
Mikey Madison,Oscar,2025,Oscar,2,acting
Mikey Madison,Golden Globe,2025,Golden Globe,1,acting
Mikey Madison,BAFTA,2025,BAFTA,2,acting
Mona Fastvold,Oscar,2025,Oscar,1,writing
Mona Fastvold,Golden Globe,2025,Golden Globe,1,writing
Mona Fastvold,BAFTA,2025,BAFTA,1,writing
Monica Barbaro,Oscar,2025,Oscar,1,acting
Moritz Binder,Oscar,2025,Oscar,1,writing
Naoise Ó Cairealláin,BAFTA,2025,BAFTA,1,writing
Naomi Watts,Golden Globe,2025,Golden Globe,1,acting
Natalie Portman,Golden Globe,2024,Golden Globe,1,acting
Natasha Lyonne,Golden Globe,2024,Golden Globe,1,acting
Nicholas Hoult,Golden Globe,2022,Golden Globe,1,acting
Nicolas Cage,Golden Globe,2024,Golden Globe,1,acting
Nicolas Livecchi,Oscar,2025,Oscar,1,writing
Nicole Kidman,Golden Globe,2025,Golden Globe,1,acting
Nicole Kidman,Oscar,2022,Oscar,1,acting
Nicole Kidman,Golden Globe,2022,Golden Globe,2,acting
Niecy Nash-Betts,Golden Globe,2023,Golden Globe,1,acting
Noah Baumbach,Oscar,2024,Oscar,1,writing
Noah Baumbach,Golden Globe,2024,Golden Globe,1,writing
Noah Baumbach,BAFTA,2024,BAFTA,1,writing
Oh Young-soo,Golden Globe,2022,Golden Globe,2,acting
Olivia Colman,Golden Globe,2023,Golden Globe,1,acting
Olivia Colman,Oscar,2022,Oscar,1,acting
Olivia Colman,Golden Globe,2022,Golden Globe,1,acting
Omar Sy,Golden Globe,2022,Golden Globe,1,acting
Oscar Isaac,Golden Globe,2022,Golden Globe,1,acting
Pamela Anderson,Golden Globe,2025,Golden Globe,1,acting
Park Chan-wook,BAFTA,2023,BAFTA,1,directing
Paul Bettany,Golden Globe,2022,Golden Globe,1,acting
Paul Giamatti,Oscar,2024,Oscar,1,acting
Paul Giamatti,Golden Globe,2024,Golden Globe,2,acting
Paul Giamatti,BAFTA,2024,BAFTA,1,acting
Paul Mescal,Oscar,2023,Oscar,1,acting
Paul Mescal,BAFTA,2023,BAFTA,1,acting
Paul Thomas Anderson,Oscar,2022,Oscar,1,directing
Paul Thomas Anderson,BAFTA,2022,BAFTA,1,directing
Paul Thomas Anderson,Oscar,2022,Oscar,1,writing
Paul Thomas Anderson,Golden Globe,2022,Golden Globe,1,writing
Paul Thomas Anderson,BAFTA,2022,BAFTA,2,writing
Paul Walter Hauser,Golden Globe,2023,Golden Globe,2,acting
Payal Kapadia,Golden Globe,2025,Golden Globe,1,directing
Pedro Pascal,Golden Globe,2024,Golden Globe,1,acting
Penélope Cruz,Oscar,2022,Oscar,1,acting
Peter Craig,Oscar,2023,Oscar,1,writing
Peter Dinklage,Golden Globe,2022,Golden Globe,1,acting
Peter Straughan,Oscar,2025,Oscar,2,writing
Peter Straughan,Golden Globe,2025,Golden Globe,2,writing
Peter Straughan,BAFTA,2025,BAFTA,2,writing
Quinta Brunson,Golden Globe,2025,Golden Globe,1,acting
Quinta Brunson,Golden Globe,2024,Golden Globe,1,acting
Quinta Brunson,Golden Globe,2023,Golden Globe,2,acting
Rachel Brosnahan,Golden Globe,2024,Golden Globe,1,acting
Rachel Weisz,Golden Globe,2024,Golden Globe,1,acting
Rachel Zegler,Golden Globe,2022,Golden Globe,2,acting
Ralph Fiennes,Oscar,2025,Oscar,1,acting
Ralph Fiennes,Golden Globe,2025,Golden Globe,1,acting
Ralph Fiennes,BAFTA,2025,BAFTA,1,acting
Ralph Fiennes,Golden Globe,2023,Golden Globe,1,acting
RaMell Ross,Oscar,2025,Oscar,1,writing
RaMell Ross,BAFTA,2025,BAFTA,1,writing
Rebecca Lenkiewicz,BAFTA,2023,BAFTA,1,writing
Rete Reinsve,BAFTA,2022,BAFTA,1,acting
Rian Johnson,Oscar,2023,Oscar,1,writing
Rich Peppiatt,BAFTA,2025,BAFTA,1,writing
Richard Gadd,Golden Globe,2025,Golden Globe,1,acting
Richard Jenkins,Golden Globe,2023,Golden Globe,1,acting
Riley Keough,Golden Globe,2024,Golden Globe,1,acting
Robert De Niro,Oscar,2024,Oscar,1,acting
Robert De Niro,Golden Globe,2024,Golden Globe,1,acting
Robert Downey Jr.,Oscar,2024,Oscar,2,acting
Robert Downey Jr.,Golden Globe,2024,Golden Globe,2,acting
Rosamund Pike,Golden Globe,2024,Golden Globe,1,acting
Ruben Östlund,Oscar,2023,Oscar,1,directing
Ruben Östlund,Oscar,2023,Oscar,1,writing
Ruben Östlund,BAFTA,2023,BAFTA,1,writing
Ruth Negga,Golden Globe,2022,Golden Globe,1,acting
Ryan Gosling,Oscar,2024,Oscar,1,acting
Ryan Gosling,Golden Globe,2024,Golden Globe,1,acting
Ryusuke Hamaguchi,Oscar,2022,Oscar,1,directing
Ryusuke Hamaguchi,Oscar,2022,Oscar,1,writing
Ryūsuke Hamaguchi,BAFTA,2022,BAFTA,1,directing
Ryūsuke Hamaguchi,BAFTA,2022,BAFTA,1,writing
Sam Claflin,Golden Globe,2024,Golden Globe,1,acting
Samuel D Hunter,BAFTA,2023,BAFTA,1,writing
Samy Burch,Oscar,2024,Oscar,1,writing
Sandra Hüller,Oscar,2024,Oscar,1,acting
Sandra Hüller,Golden Globe,2024,Golden Globe,1,acting
Sandra Hüller,BAFTA,2024,BAFTA,1,acting
Saoirse Ronan,BAFTA,2025,BAFTA,1,acting
Sarah Polley,Oscar,2023,Oscar,2,writing
Sarah Polley,Golden Globe,2023,Golden Globe,1,writing
Sarah Snook,Golden Globe,2024,Golden Globe,2,acting
Sarah Snook,Golden Globe,2022,Golden Globe,2,acting
Sean Baker,Oscar,2025,Oscar,2,directing
Sean Baker,Golden Globe,2025,Golden Globe,1,directing
Sean Baker,BAFTA,2025,BAFTA,1,directing
Sean Baker,Oscar,2025,Oscar,2,writing
Sean Baker,Golden Globe,2025,Golden Globe,1,writing
Sean Baker,BAFTA,2025,BAFTA,1,writing
Sebastian Stan,Golden Globe,2025,Golden Globe,2,acting
Sebastian Stan,Golden Globe,2023,Golden Globe,1,acting
Sebastian Stan,Oscar,2025,Oscar,1,acting
Sebastian Stan,Golden Globe,2025,Golden Globe,1,acting
Sebastian Stan,BAFTA,2025,BAFTA,1,acting
Selena Gomez,Golden Globe,2025,Golden Globe,1,acting
Selena Gomez,Golden Globe,2025,Golden Globe,1,acting
Selena Gomez,Golden Globe,2024,Golden Globe,1,acting
Selena Gomez,Golden Globe,2023,Golden Globe,1,acting
Seth Rogen,Golden Globe,2023,Golden Globe,1,acting
Sheryl Lee Ralph,Golden Globe,2023,Golden Globe,1,acting
Siân Heder,Oscar,2022,Oscar,2,writing
Siân Heder,BAFTA,2022,BAFTA,2,writing
Sofía Vergara,Golden Globe,2025,Golden Globe,1,acting
Stephanie Hsu,Oscar,2023,Oscar,1,acting
Stephen Graham,BAFTA,2022,BAFTA,1,acting
Sterling K. Brown,Oscar,2024,Oscar,1,acting
Steve Martin,Golden Globe,2025,Golden Globe,1,acting
Steve Martin,Golden Globe,2024,Golden Globe,1,acting
Steve Martin,Golden Globe,2023,Golden Globe,1,acting
Steve Martin,Golden Globe,2022,Golden Globe,1,acting
Steven Spielberg,Oscar,2023,Oscar,1,directing
Steven Spielberg,Golden Globe,2023,Golden Globe,2,directing
Steven Spielberg,Oscar,2023,Oscar,1,writing
Steven Spielberg,Golden Globe,2023,Golden Globe,1,writing
Steven Spielberg,BAFTA,2023,BAFTA,1,writing
Steven Spielberg,Oscar,2022,Oscar,1,directing
Steven Spielberg,Golden Globe,2022,Golden Globe,1,directing
Steven Yeun,Golden Globe,2024,Golden Globe,2,acting
Tadanobu Asano,Golden Globe,2025,Golden Globe,2,acting
Tahar Rahim,Golden Globe,2022,Golden Globe,1,acting
Takamasa Oe,Oscar,2022,Oscar,1,writing
Takamasa Oe,BAFTA,2022,BAFTA,1,writing
Taron Egerton,Golden Globe,2023,Golden Globe,1,acting
Ted Danson,Golden Globe,2025,Golden Globe,1,acting
Teo Yoo,BAFTA,2024,BAFTA,1,acting
Tessa Thompson,BAFTA,2022,BAFTA,1,acting
Thomas Bidegain,Oscar,2025,Oscar,1,writing
Tilda Swinton,Golden Globe,2025,Golden Globe,1,acting
Tim Fehlbaum,Oscar,2025,Oscar,1,writing
Timothée Chalamet,Oscar,2025,Oscar,1,acting
Timothée Chalamet,Golden Globe,2025,Golden Globe,1,acting
Timothée Chalamet,BAFTA,2025,BAFTA,1,acting
Timothée Chalamet,Golden Globe,2024,Golden Globe,1,acting
Todd Field,Oscar,2023,Oscar,1,directing
Todd Field,Oscar,2023,Oscar,1,writing
Todd Field,Golden Globe,2023,Golden Globe,1,writing
Todd Field,BAFTA,2023,BAFTA,1,directing
Todd Field,BAFTA,2023,BAFTA,1,writing
Tony Kushner,Oscar,2023,Oscar,1,writing
Tony Kushner,Golden Globe,2023,Golden Globe,1,writing
Tony Kushner,BAFTA,2023,BAFTA,1,writing
Tony Mcmara,Oscar,2024,Oscar,1,writing
Tony Mcmara,Golden Globe,2024,Golden Globe,1,writing
Tony Mcmara,BAFTA,2024,BAFTA,1,writing
Tracee Ellis Ross,Golden Globe,2022,Golden Globe,1,acting
Troy Kotsur,Oscar,2022,Oscar,1,acting
Troy Kotsur,Golden Globe,2022,Golden Globe,1,acting
Tyler Williams,Golden Globe,2023,Golden Globe,2,acting
Uzo Aduba,Golden Globe,2022,Golden Globe,1,acting
Viola Davis,Golden Globe,2023,Golden Globe,1,acting
Viola Davis,BAFTA,2023,BAFTA,1,acting
Vivian Oparah,BAFTA,2024,BAFTA,1,acting
Will Smith,Oscar,2022,Oscar,2,acting
Will Smith,Golden Globe,2022,Golden Globe,2,acting
Will Smith,BAFTA,2022,BAFTA,2,acting
Willem Dafoe,Golden Globe,2024,Golden Globe,1,acting
Woody Harrelson,Golden Globe,2024,Golden Globe,1,acting
Yorgos Lanthimos,Oscar,2024,Oscar,1,directing
Yorgos Lanthimos,Golden Globe,2024,Golden Globe,1,directing
Yura Borisov,Oscar,2025,Oscar,1,acting
Yura Borisov,Golden Globe,2025,Golden Globe,1,acting
Zach Baylin,Oscar,2022,Oscar,1,writing
Zach Baylin,BAFTA,2022,BAFTA,1,writing
Zendaya,Golden Globe,2025,Golden Globe,1,acting
Zendaya,Golden Globe,2023,Golden Globe,2,acting
Zoe Saldaña,Oscar,2025,Oscar,2,acting
Zoe Saldaña,Golden Globe,2025,Golden Globe,2,acting
