from,to,year,award,weight,category,project
Joslyn Barnes,BAFTA,2025,BAFTA,1,writing,Nickel Boys
Judd Hirsch,Oscar,2023,Oscar,1,acting,The Fabelmans
Judi Dench,Oscar,2022,Oscar,1,acting,Belfast
Julia Ducouru,BAFTA,2022,BAFTA,1,directing,Titane
Julia Garner,Golden Globe,2023,Golden Globe,2,acting,Ozark
Julia Roberts,Golden Globe,2023,Golden Globe,1,acting,Gaslit
Julianne Moore,Golden Globe,2024,Golden Globe,1,acting,May December
Juno Temple,Golden Globe,2024,Golden Globe,1,acting,Fargo
Justin Marks,Oscar,2023,Oscar,1,writing,Top Gun: Maverick
Justine Triet,Oscar,2024,Oscar,1,directing,Anatomy of a Fall
Justine Triet,BAFTA,2024,BAFTA,1,directing,Anatomy of a Fall
Justine Triet,Oscar,2024,Oscar,2,writing,Anatomy of a Fall
Justine Triet,Golden Globe,2024,Golden Globe,2,writing,Anatomy of a Fall
Justine Triet,BAFTA,2024,BAFTA,2,writing,Anatomy of a Fall
Kaitlyn Dever,Golden Globe,2022,Golden Globe,1,acting,Dopesick
Kaley Cuoco,Golden Globe,2023,Golden Globe,1,acting,The Flight Attendant
Kali Reis,Golden Globe,2025,Golden Globe,1,acting,True Detective: Night Country
Karla Sofía Gascón,Oscar,2025,Oscar,1,acting,Emilia Pérez
Karla Sofía Gascón,Golden Globe,2025,Golden Globe,1,acting,Emilia Pérez
Karla Sofía Gascón,BAFTA,2025,BAFTA,1,acting,Emilia Pérez
Kate Winslet,Golden Globe,2025,Golden Globe,1,acting,Lee
Kate Winslet,Golden Globe,2022,Golden Globe,2,acting,Mare of Easttown
Kate Winslet,Golden Globe,2025,Golden Globe,1,acting,The Regime
Kathryn Hahn,Golden Globe,2025,Golden Globe,1,acting,Agatha All Along
Kathy Bates,Golden Globe,2025,Golden Globe,1,acting,Matlock (2024 TV Series)
Kazuo Ishiguro,Oscar,2023,Oscar,1,writing,Living
Kazuo Ishiguro,BAFTA,2023,BAFTA,1,writing,Living
Ke Huy Quan,Oscar,2023,Oscar,2,acting,Everything Everywhere All at Once
Ke Huy Quan,Golden Globe,2023,Golden Globe,2,acting,Everything Everywhere All at Once
Keira Knightley,Golden Globe,2025,Golden Globe,1,acting,Black Doves
Kenneth Bragh,Oscar,2022,Oscar,1,directing,Belfast
Kenneth Bragh,Golden Globe,2022,Golden Globe,1,directing,Belfast
Kenneth Bragh,Oscar,2022,Oscar,2,writing,Belfast
Kenneth Bragh,Golden Globe,2022,Golden Globe,2,writing,Belfast
Kenneth Bragh,BAFTA,2022,BAFTA,1,writing,Belfast
Keri Russell,Golden Globe,2025,Golden Globe,1,acting,The Diplomat
Keri Russell,Golden Globe,2024,Golden Globe,1,acting,The Diplomat
Kerry Condon,Oscar,2023,Oscar,1,acting,The Banshees of Inisherin
Kerry Condon,Golden Globe,2023,Golden Globe,1,acting,The Banshees of Inisherin
Kevin Costner,Golden Globe,2023,Golden Globe,2,acting,Yellowstone
Kevin Kline,Golden Globe,2025,Golden Globe,1,acting,Disclaimer
Kieran Culkin,Oscar,2025,Oscar,2,acting,A Real Pain
Kieran Culkin,Golden Globe,2025,Golden Globe,2,acting,A Real Pain
Kieran Culkin,Golden Globe,2024,Golden Globe,2,acting,Succession
Kieran Culkin,Golden Globe,2022,Golden Globe,1,acting,Succession
Kirsten Dunst,Oscar,2022,Oscar,1,acting,The Power of the Dog
Kirsten Dunst,Golden Globe,2022,Golden Globe,1,acting,The Power of the Dog
Kodi Smit-McPhee,Oscar,2022,Oscar,1,acting,The Power of the Dog
Kodi Smit-McPhee,Golden Globe,2022,Golden Globe,2,acting,The Power of the Dog
Kristen Bell,Golden Globe,2025,Golden Globe,1,acting,Nobody Wants This
Kristen Stewart,Oscar,2022,Oscar,1,acting,Spencer
Kristen Stewart,Golden Globe,2022,Golden Globe,1,acting,Spencer
Lady Gaga,Golden Globe,2022,Golden Globe,1,acting,House of Gucci
Lady Gaga,BAFTA,2022,BAFTA,1,acting,House of Gucci
Laura Linney,Golden Globe,2023,Golden Globe,1,acting,Ozark
Léa Mysius,Oscar,2025,Oscar,1,writing,Emilia Pérez
Lee Jung-jae,Golden Globe,2022,Golden Globe,1,acting,Squid Game
Leonardo DiCaprio,Golden Globe,2022,Golden Globe,1,acting,Don't Look Up
Leonardo DiCaprio,BAFTA,2022,BAFTA,1,acting,Don't Look Up
Leonardo DiCaprio,Golden Globe,2024,Golden Globe,1,acting,Killers of the Flower Moon
Lesley Manville,Golden Globe,2023,Golden Globe,1,acting,Mrs. Harris Goes to Paris
Lesley Paterson,Oscar,2023,Oscar,1,writing,All Quiet on the Western Front
Lesley Paterson,BAFTA,2023,BAFTA,2,writing,All Quiet on the Western Front
Liam Óg Ó HAnidh,BAFTA,2025,BAFTA,1,writing,Kneecap
Lily Gladstone,Oscar,2024,Oscar,1,acting,Killers of the Flower Moon
Lily Gladstone,Golden Globe,2024,Golden Globe,2,acting,Killers of the Flower Moon
Lily James,Golden Globe,2023,Golden Globe,1,acting,Pam & Tommy
Liza Colón-Zayas,Golden Globe,2025,Golden Globe,1,acting,The Bear
Maggie Gyllenhaal,Golden Globe,2022,Golden Globe,1,directing,The Lost Daughter
Maggie Gyllenhaal,Oscar,2022,Oscar,1,writing,The Lost Daughter
Maggie Gyllenhaal,BAFTA,2022,BAFTA,1,writing,The Lost Daughter
Mahershala Ali,Golden Globe,2022,Golden Globe,1,acting,Swan Song
Mahershala Ali,BAFTA,2022,BAFTA,1,acting,Swan Song
Margaret Qualley,Golden Globe,2022,Golden Globe,1,acting,Maid
Margaret Qualley,Golden Globe,2025,Golden Globe,1,acting,The Substance
Margot Robbie,Golden Globe,2023,Golden Globe,1,acting,Babylon
Margot Robbie,Golden Globe,2024,Golden Globe,1,acting,Barbie
Margot Robbie,BAFTA,2024,BAFTA,1,acting,Barbie
Marianne Jean-Baptiste,BAFTA,2025,BAFTA,1,acting,Hard Truths
Marion Cotillard,Golden Globe,2022,Golden Globe,1,acting,Annette
Mark Duplass,Golden Globe,2022,Golden Globe,1,acting,The Morning Show
Mark Ruffalo,Oscar,2024,Oscar,1,acting,Poor Things
Mark Ruffalo,Golden Globe,2024,Golden Globe,1,acting,Poor Things
Martin McDonagh,Oscar,2023,Oscar,1,directing,The Banshees of Inisherin
Martin McDonagh,Golden Globe,2023,Golden Globe,1,directing,The Banshees of Inisherin
Martin McDonagh,BAFTA,2023,BAFTA,1,directing,The Banshees of Inisherin
Martin McDonagh,Oscar,2023,Oscar,1,writing,The Banshees of Inisherin
Martin McDonagh,Golden Globe,2023,Golden Globe,2,writing,The Banshees of Inisherin
Martin McDonagh,BAFTA,2023,BAFTA,2,writing,The Banshees of Inisherin
Martin Scorsese,Oscar,2024,Oscar,1,directing,Killers of the Flower Moon
Martin Scorsese,Golden Globe,2024,Golden Globe,1,directing,Killers of the Flower Moon
Martin Scorsese,Golden Globe,2024,Golden Globe,1,writing,Killers of the Flower Moon
Martin Short,Golden Globe,2025,Golden Globe,1,acting,Only Murders in the Building
Martin Short,Golden Globe,2024,Golden Globe,1,acting,Only Murders in the Building
Martin Short,Golden Globe,2023,Golden Globe,1,acting,Only Murders in the Building
Martin Short,Golden Globe,2022,Golden Globe,1,acting,Only Murders in the Building
Matt Bomer,Golden Globe,2024,Golden Globe,1,acting,Fellow Travelers
Matt Damon,Golden Globe,2024,Golden Globe,1,acting,Air
Matthew Macfadyen,Golden Globe,2024,Golden Globe,2,acting,Succession
Maya Erskine,Golden Globe,2025,Golden Globe,1,acting,Mr. & Mrs. Smith
Meryl Streep,Golden Globe,2024,Golden Globe,1,acting,Only Murders in the Building
Michael Keaton,Golden Globe,2022,Golden Globe,2,acting,Dopesick
Michaela Jaé Rodriguez,Golden Globe,2022,Golden Globe,2,acting,Pose
Michelle Williams,Oscar,2023,Oscar,1,acting,The Fabelmans
Michelle Williams,Golden Globe,2023,Golden Globe,1,acting,The Fabelmans
Michelle Yeoh,Oscar,2023,Oscar,2,acting,Everything Everywhere All at Once
Michelle Yeoh,Golden Globe,2023,Golden Globe,2,acting,Everything Everywhere All at Once
Michelle Yeoh,BAFTA,2023,BAFTA,1,acting,Everything Everywhere All at Once
Mikey Madison,Oscar,2025,Oscar,2,acting,Anora
Mikey Madison,Golden Globe,2025,Golden Globe,1,acting,Anora
Mikey Madison,BAFTA,2025,BAFTA,2,acting,Anora
Mona Fastvold,Oscar,2025,Oscar,1,writing,The Brutalist
Mona Fastvold,Golden Globe,2025,Golden Globe,1,writing,The Brutalist
Mona Fastvold,BAFTA,2025,BAFTA,1,writing,The Brutalist
Monica Barbaro,Oscar,2025,Oscar,1,acting,A Complete Unknown
Moritz Binder,Oscar,2025,Oscar,1,writing,September 5
Naoise Ó Cairealláin,BAFTA,2025,BAFTA,1,writing,Kneecap
Naomi Watts,Golden Globe,2025,Golden Globe,1,acting,Feud: Capote vs. The Swans
Natalie Portman,Golden Globe,2024,Golden Globe,1,acting,May December
Natasha Lyonne,Golden Globe,2024,Golden Globe,1,acting,Poker Face
Nicholas Hoult,Golden Globe,2022,Golden Globe,1,acting,The Great
Nicolas Cage,Golden Globe,2024,Golden Globe,1,acting,Dream Scenario
Nicolas Livecchi,Oscar,2025,Oscar,1,writing,Emilia Pérez
Nicole Kidman,Golden Globe,2025,Golden Globe,1,acting,Babygirl
Nicole Kidman,Oscar,2022,Oscar,1,acting,Being the Ricardos
Nicole Kidman,Golden Globe,2022,Golden Globe,2,acting,Being the Ricardos
Niecy Nash-Betts,Golden Globe,2023,Golden Globe,1,acting,Dahmer - Monster: The Jeffrey Dahmer Story
Noah Baumbach,Oscar,2024,Oscar,1,writing,Barbie
Noah Baumbach,Golden Globe,2024,Golden Globe,1,writing,Barbie
Noah Baumbach,BAFTA,2024,BAFTA,1,writing,Barbie
Oh Young-soo,Golden Globe,2022,Golden Globe,2,acting,Squid Game
Olivia Colman,Golden Globe,2023,Golden Globe,1,acting,Empire of Light
Olivia Colman,Oscar,2022,Oscar,1,acting,The Lost Daughter
Olivia Colman,Golden Globe,2022,Golden Globe,1,acting,The Lost Daughter
Omar Sy,Golden Globe,2022,Golden Globe,1,acting,Lupin
Oscar Isaac,Golden Globe,2022,Golden Globe,1,acting,Scenes from a Marriage
Pamela Anderson,Golden Globe,2025,Golden Globe,1,acting,The Last Showgirl
Park Chan-wook,BAFTA,2023,BAFTA,1,directing,Decision to Leave
Paul Bettany,Golden Globe,2022,Golden Globe,1,acting,WandaVision
Paul Giamatti,Oscar,2024,Oscar,1,acting,The Holdovers
Paul Giamatti,Golden Globe,2024,Golden Globe,2,acting,The Holdovers
Paul Giamatti,BAFTA,2024,BAFTA,1,acting,The Holdovers
Paul Mescal,Oscar,2023,Oscar,1,acting,Aftersun
Paul Mescal,BAFTA,2023,BAFTA,1,acting,Aftersun
Paul Thomas Anderson,Oscar,2022,Oscar,1,directing,Licorice Pizza
Paul Thomas Anderson,BAFTA,2022,BAFTA,1,directing,Licorice Pizza
Paul Thomas Anderson,Oscar,2022,Oscar,1,writing,Licorice Pizza
Paul Thomas Anderson,Golden Globe,2022,Golden Globe,1,writing,Licorice Pizza
Paul Thomas Anderson,BAFTA,2022,BAFTA,2,writing,Licorice Pizza
Paul Walter Hauser,Golden Globe,2023,Golden Globe,2,acting,Black Bird
Payal Kapadia,Golden Globe,2025,Golden Globe,1,directing,All We Imagine as Light
Pedro Pascal,Golden Globe,2024,Golden Globe,1,acting,The Last of Us
Penélope Cruz,Oscar,2022,Oscar,1,acting,Parallel Mothers
Peter Craig,Oscar,2023,Oscar,1,writing,Top Gun: Maverick
Peter Dinklage,Golden Globe,2022,Golden Globe,1,acting,Cyrano
Peter Straughan,Oscar,2025,Oscar,2,writing,Conclave
Peter Straughan,Golden Globe,2025,Golden Globe,2,writing,Conclave
Peter Straughan,BAFTA,2025,BAFTA,2,writing,Conclave
Quinta Brunson,Golden Globe,2025,Golden Globe,1,acting,Abbott Elementary
Quinta Brunson,Golden Globe,2024,Golden Globe,1,acting,Abbott Elementary
Quinta Brunson,Golden Globe,2023,Golden Globe,2,acting,Abbott Elementary
Rachel Brosnahan,Golden Globe,2024,Golden Globe,1,acting,The Marvelous Mrs. Maisel
Rachel Weisz,Golden Globe,2024,Golden Globe,1,acting,Dead Ringers
Rachel Zegler,Golden Globe,2022,Golden Globe,2,acting,West Side Story (2021)
Ralph Fiennes,Oscar,2025,Oscar,1,acting,Conclave
Ralph Fiennes,Golden Globe,2025,Golden Globe,1,acting,Conclave
Ralph Fiennes,BAFTA,2025,BAFTA,1,acting,Conclave
Ralph Fiennes,Golden Globe,2023,Golden Globe,1,acting,The Menu
RaMell Ross,Oscar,2025,Oscar,1,writing,Nickel Boys
RaMell Ross,BAFTA,2025,BAFTA,1,writing,Nickel Boys
Rebecca Lenkiewicz,BAFTA,2023,BAFTA,1,writing,She Said
Rete Reinsve,BAFTA,2022,BAFTA,1,acting,The Worst Person in the World
Rian Johnson,Oscar,2023,Oscar,1,writing,Glass Onion: A Knives Out Mystery
Rich Peppiatt,BAFTA,2025,BAFTA,1,writing,Kneecap
Richard Gadd,Golden Globe,2025,Golden Globe,1,acting,Baby Reindeer
Richard Jenkins,Golden Globe,2023,Golden Globe,1,acting,Dahmer - Monster: The Jeffrey Dahmer Story
Riley Keough,Golden Globe,2024,Golden Globe,1,acting,Daisy Jones and the Six
Robert De Niro,Oscar,2024,Oscar,1,acting,Killers of the Flower Moon
Robert De Niro,Golden Globe,2024,Golden Globe,1,acting,Killers of the Flower Moon
Robert Downey Jr.,Oscar,2024,Oscar,2,acting,Oppenheimer
Robert Downey Jr.,Golden Globe,2024,Golden Globe,2,acting,Oppenheimer
Rosamund Pike,Golden Globe,2024,Golden Globe,1,acting,Saltburn
Ruben Östlund,Oscar,2023,Oscar,1,directing,Triangle of Sadness
Ruben Östlund,Oscar,2023,Oscar,1,writing,Triangle of Sadness
Ruben Östlund,BAFTA,2023,BAFTA,1,writing,Triangle of Sadness
Ruth Negga,Golden Globe,2022,Golden Globe,1,acting,Passing
Ryan Gosling,Oscar,2024,Oscar,1,acting,Barbie
Ryan Gosling,Golden Globe,2024,Golden Globe,1,acting,Barbie
Ryusuke Hamaguchi,Oscar,2022,Oscar,1,directing,Drive My Car
Ryusuke Hamaguchi,Oscar,2022,Oscar,1,writing,Drive My Car
Ryūsuke Hamaguchi,BAFTA,2022,BAFTA,1,directing,Drive My Car
Ryūsuke Hamaguchi,BAFTA,2022,BAFTA,1,writing,Drive My Car
Sam Claflin,Golden Globe,2024,Golden Globe,1,acting,Daisy Jones and the Six
Samuel D Hunter,BAFTA,2023,BAFTA,1,writing,The Whale
Samy Burch,Oscar,2024,Oscar,1,writing,May December
Sandra Hüller,Oscar,2024,Oscar,1,acting,Anatomy of a Fall
Sandra Hüller,Golden Globe,2024,Golden Globe,1,acting,Anatomy of a Fall
Sandra Hüller,BAFTA,2024,BAFTA,1,acting,Anatomy of a Fall
Saoirse Ronan,BAFTA,2025,BAFTA,1,acting,The Outrun
Sarah Polley,Oscar,2023,Oscar,2,writing,Women Talking
Sarah Polley,Golden Globe,2023,Golden Globe,1,writing,Women Talking
Sarah Snook,Golden Globe,2024,Golden Globe,2,acting,Succession
Sarah Snook,Golden Globe,2022,Golden Globe,2,acting,Succession
Sean Baker,Oscar,2025,Oscar,2,directing,Anora
Sean Baker,Golden Globe,2025,Golden Globe,1,directing,Anora
Sean Baker,BAFTA,2025,BAFTA,1,directing,Anora
Sean Baker,Oscar,2025,Oscar,2,writing,Anora
Sean Baker,Golden Globe,2025,Golden Globe,1,writing,Anora
Sean Baker,BAFTA,2025,BAFTA,1,writing,Anora
Sebastian Stan,Golden Globe,2025,Golden Globe,2,acting,A Different Man
Sebastian Stan,Golden Globe,2023,Golden Globe,1,acting,Pam & Tommy
Sebastian Stan,Oscar,2025,Oscar,1,acting,The Apprentice
Sebastian Stan,Golden Globe,2025,Golden Globe,1,acting,The Apprentice
Sebastian Stan,BAFTA,2025,BAFTA,1,acting,The Apprentice
Selena Gomez,Golden Globe,2025,Golden Globe,1,acting,Emilia Pérez
Selena Gomez,Golden Globe,2025,Golden Globe,1,acting,Only Murders in the Building
Selena Gomez,Golden Globe,2024,Golden Globe,1,acting,Only Murders in the Building
Selena Gomez,Golden Globe,2023,Golden Globe,1,acting,Only Murders in the Building
Seth Rogen,Golden Globe,2023,Golden Globe,1,acting,Pam & Tommy
Sheryl Lee Ralph,Golden Globe,2023,Golden Globe,1,acting,Abbott Elementary
Siân Heder,Oscar,2022,Oscar,2,writing,CODA
Siân Heder,BAFTA,2022,BAFTA,2,writing,CODA
Sofía Vergara,Golden Globe,2025,Golden Globe,1,acting,Griselda
Stephanie Hsu,Oscar,2023,Oscar,1,acting,Everything Everywhere All at Once
Stephen Graham,BAFTA,2022,BAFTA,1,acting,Boiling Point
Sterling K. Brown,Oscar,2024,Oscar,1,acting,American Fiction
Steve Martin,Golden Globe,2025,Golden Globe,1,acting,Only Murders in the Building
Steve Martin,Golden Globe,2024,Golden Globe,1,acting,Only Murders in the Building
Steve Martin,Golden Globe,2023,Golden Globe,1,acting,Only Murders in the Building
Steve Martin,Golden Globe,2022,Golden Globe,1,acting,Only Murders in the Building
Steven Spielberg,Oscar,2023,Oscar,1,directing,The Fabelmans
Steven Spielberg,Golden Globe,2023,Golden Globe,2,directing,The Fabelmans
Steven Spielberg,Oscar,2023,Oscar,1,writing,The Fabelmans
Steven Spielberg,Golden Globe,2023,Golden Globe,1,writing,The Fabelmans
Steven Spielberg,BAFTA,2023,BAFTA,1,writing,The Fabelmans
Steven Spielberg,Oscar,2022,Oscar,1,directing,West Side Story (2021)
Steven Spielberg,Golden Globe,2022,Golden Globe,1,directing,West Side Story (2021)
Steven Yeun,Golden Globe,2024,Golden Globe,2,acting,Beef
Tadanobu Asano,Golden Globe,2025,Golden Globe,2,acting,Shogun
Tahar Rahim,Golden Globe,2022,Golden Globe,1,acting,The Serpent
Takamasa Oe,Oscar,2022,Oscar,1,writing,Drive My Car
Takamasa Oe,BAFTA,2022,BAFTA,1,writing,Drive My Car
Taron Egerton,Golden Globe,2023,Golden Globe,1,acting,Black Bird
Ted Danson,Golden Globe,2025,Golden Globe,1,acting,A Man on the Inside
Teo Yoo,BAFTA,2024,BAFTA,1,acting,Past Lives
Tessa Thompson,BAFTA,2022,BAFTA,1,acting,Passing
Thomas Bidegain,Oscar,2025,Oscar,1,writing,Emilia Pérez
Tilda Swinton,Golden Globe,2025,Golden Globe,1,acting,The Room Next Door
Tim Fehlbaum,Oscar,2025,Oscar,1,writing,September 5
Timothée Chalamet,Oscar,2025,Oscar,1,acting,A Complete Unknown
Timothée Chalamet,Golden Globe,2025,Golden Globe,1,acting,A Complete Unknown
Timothée Chalamet,BAFTA,2025,BAFTA,1,acting,A Complete Unknown
Timothée Chalamet,Golden Globe,2024,Golden Globe,1,acting,Wonka
Todd Field,Oscar,2023,Oscar,1,directing,TÁR
Todd Field,Oscar,2023,Oscar,1,writing,TÁR
Todd Field,Golden Globe,2023,Golden Globe,1,writing,TÁR
Todd Field,BAFTA,2023,BAFTA,1,directing,TÁR
Todd Field,BAFTA,2023,BAFTA,1,writing,TÁR
Tony Kushner,Oscar,2023,Oscar,1,writing,The Fabelmans
Tony Kushner,Golden Globe,2023,Golden Globe,1,writing,The Fabelmans
Tony Kushner,BAFTA,2023,BAFTA,1,writing,The Fabelmans
Tony Mcmara,Oscar,2024,Oscar,1,writing,Poor Things
Tony Mcmara,Golden Globe,2024,Golden Globe,1,writing,Poor Things
Tony Mcmara,BAFTA,2024,BAFTA,1,writing,Poor Things
Tracee Ellis Ross,Golden Globe,2022,Golden Globe,1,acting,Black-ish
Troy Kotsur,Oscar,2022,Oscar,1,acting,CODA
Troy Kotsur,Golden Globe,2022,Golden Globe,1,acting,CODA
Tyler Williams,Golden Globe,2023,Golden Globe,2,acting,Abbott Elementary
Uzo Aduba,Golden Globe,2022,Golden Globe,1,acting,In Treatment
Viola Davis,Golden Globe,2023,Golden Globe,1,acting,The Woman King
Viola Davis,BAFTA,2023,BAFTA,1,acting,The Woman King
Vivian Oparah,BAFTA,2024,BAFTA,1,acting,Rye Lane
Will Smith,Oscar,2022,Oscar,2,acting,King Richard
Will Smith,Golden Globe,2022,Golden Globe,2,acting,King Richard
Will Smith,BAFTA,2022,BAFTA,2,acting,King Richard
Willem Dafoe,Golden Globe,2024,Golden Globe,1,acting,Poor Things
Woody Harrelson,Golden Globe,2024,Golden Globe,1,acting,White House Plumbers
Yorgos Lanthimos,Oscar,2024,Oscar,1,directing,Poor Things
Yorgos Lanthimos,Golden Globe,2024,Golden Globe,1,directing,Poor Things
Yura Borisov,Oscar,2025,Oscar,1,acting,Anora
Yura Borisov,Golden Globe,2025,Golden Globe,1,acting,Anora
Zach Baylin,Oscar,2022,Oscar,1,writing,King Richard
Zach Baylin,BAFTA,2022,BAFTA,1,writing,King Richard
Zendaya,Golden Globe,2025,Golden Globe,1,acting,Challengers
Zendaya,Golden Globe,2023,Golden Globe,2,acting,Euphoria
Zoe Saldaña,Oscar,2025,Oscar,2,acting,Emilia Pérez
Zoe Saldaña,Golden Globe,2025,Golden Globe,2,acting,Emilia Pérez
